Word;WordSaid;WhereErrorOccurred;TypeOfError;LocationOfError;LetterOfError
rat;rat;None;None;[];[]
race;chase;Beginning;Addition;[0, 1, 3];['c']
wrap;chase;Beginning;Addition;[0, 1, 3, 4];['c']
rip;chase;Beginning;Addition;[0, 1, 2, 3, 4];['c']
ranch;ranch;None;None;[];[]
write;right;Beginning;Substitution;[0, 1, 2, 3, 4];['w', 'r', 'i', 't', 'e']
wrap;rap rap;Beginning;Addition;[0, 1, 2, 3, 4, 5, 6];['r']
rake;fake spanx;Beginning;Addition;[0, 4, 5, 6, 7, 8, 9];['f']
rake;fake spanx;Beginning;Addition;[0, 4, 5, 6, 7, 8, 9];['f']
ran;bran;Beginning;Addition;[0];['b']
wrap;rap;Beginning;Deletion;[0];['w']
run;run;None;None;[];[]
rat;rats;Middle;Addition;[3];['s']
read;red;Middle;Deletion;[2, 3];['a', 'd']
ranch;roach;Middle;Substitution;[1, 2];['a', 'n']
rice;rise;Middle;Substitution;[2];['c']
rip,rip,None,None,[],[]
rich,rich,None,None,[],[]
rain,rain,None,None,[],[]
ring,ring,None,None,[],[]
rip,rip,None,None,[],[]
race,race,None,None,[],[]
ran,run,Middle,Substitution,[1],['a']
wrist,wrist,None,None,[],[]
rice,rice,None,None,[],[]
write,right,Beginning,Substitution,[0, 1, 2, 3, 4],['w', 'r', 'i', 't', 'e']
run,run,None,None,[],[]
race,race,None,None,[],[]
ranch,ranch,None,None,[],[]
rag,brag,Beginning,Addition,[0],['b']
ran,wren,Beginning,Addition,[0, 2],['w']
recess,reese's,Middle,Addition,[2, 3, 4, 5, 6],['e']
rice,rise,Middle,Substitution,[2],['c']
radio,radio,None,None,[],[]
ribbon,radio,Middle,Deletion,[1, 2, 3, 5],['i', 'b', 'b', 'n']
write,wait,Middle,Deletion,[1, 4],['r', 'e']
rain,rain,None,None,[],[]
wrist,wrist,None,None,[],[]
red,red,None,None,[],[]
rock,walk,Beginning,Substitution,[0, 1, 2],['r', 'o', 'c']
radio,radio,None,None,[],[]
write,right,Beginning,Substitution,[0, 1, 2, 3, 4],['w', 'r', 'i', 't', 'e']
rich,rich,None,None,[],[]
rabbit,rabbit,None,None,[],[]
radio,radio,None,None,[],[]
rake,rick,Middle,Substitution,[1, 2, 3],['a', 'k', 'e']
raisin,raisin,None,None,[],[]
race,race,None,None,[],[]
write,writing,End,Addition,[4, 5, 6],['i']
ribbon,gibbon,Beginning,Substitution,[0],['r']
wrist,wrist,None,None,[],[]
rip,rip,None,None,[],[]
red,red,None,None,[],[]
recess,reassess,Beginning,Addition,[0, 1, 2, 3, 4],['r']
race,race,None,None,[],[]
ranch,wrench,Beginning,Addition,[0, 2],['w']
rain,rain,None,None,[],[]
rip,ripped,Middle,Addition,[3, 4, 5],['p']
rich,rich,None,None,[],[]
rice,race,Middle,Substitution,[1],['i']
rip,race,Middle,Addition,[1, 2, 3],['a']
rain,raining,Middle,Addition,[4, 5, 6],['i']
red,read,End,Addition,[2, 3],['a']
read,read,None,None,[],[]
red,red,None,None,[],[]
ring,bringing,Beginning,Addition,[0, 5, 6, 7],['b']
recess,recess,None,None,[],[]
read,read,None,None,[],[]
ribbon,groupon,Beginning,Addition,[0, 2, 3, 4],['g']
rock,rock,None,None,[],[]
wrap,rap,Beginning,Deletion,[0],['w']
rain,rain,None,None,[],[]
rake,rate,Middle,Substitution,[2],['k']
ranch,wrench,Beginning,Addition,[0, 2],['w']
red,rid,Middle,Substitution,[1],['e']
rake,wreck,Beginning,Addition,[0, 2, 3, 4],['w']
run,run,None,None,[],[]

